"","young_1","young_2","young_3","young_4","young_5","young_6","young_7","young_8","young_9","young_10","young_11","young_12","old_1","old_2","old_3","old_4","old_5","old_6","old_7","old_8","old_9","old_10","old_11","old_12","old_13"
"Hydroxyisocaproate",15.6996019590325,14.4083030964737,16.1100079071336,14.9932244266781,15.4349423468485,15.9851578143707,16.050731098967,15.177436587269,15.3613198425456,16.1292502549464,16.9753496255475,15.4620098322,13.9731210747503,14.947829874207,15.7493463238564,16.1032351885794,14.6745578957783,14.3455451642991,15.7950847509573,14.2500575622846,13.1539532512904,12.7270690673394,15.0283134233666,14.7153774992701,15.352054331947
"Inosine",23.4631909977129,23.6911076146501,23.4885883544718,24.3026614498031,24.734964531817,23.4451326528652,23.45183767978,23.8132441025537,25.0038266332268,23.3459065956757,24.4930350716685,23.936673629979,24.4546457919757,24.7695879104042,22.9475790535692,22.8215862692864,24.7230132046057,24.1810350833529,23.2249407331083,23.4135570118985,24.4046323464156,25.6900044119159,23.5798573986741,23.7628553932942,24.4824208423663
"Isocitrate",17.3352254175832,17.7625176612978,17.3538285223246,17.6513229552408,18.3904385248088,17.595535144925,17.803423894632,16.8105689599868,17.2781324600152,17.3325133131594,18.0733336846044,17.0153006164843,18.2945830205458,17.6818790502108,16.4033092901606,17.794264930444,17.4633927558969,16.6379925557981,17.8190079192257,17.8727092307989,17.9260598319942,18.2527490083623,17.3505085210596,18.7136459869721,16.9959002681351
"Kynurenine",14.6890561163874,15.4145107435266,15.1281366616013,13.8932811813809,14.0142015091465,14.8081503137837,14.9699043211658,15.6590319851379,13.5356601675143,15.1609458645055,14.4612200754912,14.3474606945171,14.1061468451175,14.1117479754379,15.0778228448257,15.3834038496894,14.3577417490247,14.7953832770451,14.5419023065867,15.8623231298712,15.1703119128676,14.3828617267729,14.6159493834365,14.1864247399115,14.8030059409945
"Lactate",26.7115761585322,26.6958908054197,25.7548336157277,26.3056906936199,26.019075484084,26.6053146288697,25.9879592972467,26.491591662752,26.2331102957628,26.6956041967864,26.4416074179237,26.025874334528,26.4819816364063,26.8424145201266,26.8004916742268,26.4274974952588,26.1682232340534,26.3899182677716,26.6810901830421,26.8335334792786,25.7684512517387,25.3174391564152,26.7731693905386,27.0740785042044,26.3286347645701
"Lactulose",18.8734460499278,17.9606310263836,16.8748109975482,16.924835807881,17.1202408781508,17.650566960264,17.754234715505,16.2343538250537,17.6652272424469,17.1706204235043,16.5232189809409,17.730420347719,18.8839655216284,17.3332520745828,17.6465342439226,17.3956459697005,17.0581738481598,17.492285758507,16.715239628941,17.4042026178092,17.2737486298433,18.2494913832384,17.0797350670699,17.6353488939056,17.079107486188
"Malate",22.6786969130325,24.0122783385915,23.9113195820609,24.0898182421001,24.3829391988105,23.7428270897911,24.025745941015,24.5346114571574,23.2190486794452,23.3266448911913,24.4910594229581,23.7622408784793,24.075811721918,24.0232695639502,23.9285245342658,24.5554247998143,24.4631361467743,24.6350581162584,24.2869183850887,24.6433945245243,25.0436328641286,24.6678925839281,24.6638201232747,25.0763237181158,23.6976216658172
"Malonate",19.3717734702114,20.4148256318973,19.9494952471633,19.6994470447243,19.693743922623,20.0795600460596,20.7604177358041,19.0830673317029,20.1134032230711,19.7935871984067,19.6446039583983,19.9470317529419,18.949104711338,19.3926070624619,20.5558224539559,20.0034478070648,20.5417723484156,20.4922639554106,20.6674032660039,19.8289982135723,19.7026046370644,20.3280854987838,18.8916722203047,21.2464815337058,19.5422946181355
"Malonyl-coenzyme A",13.0646229785485,12.1789905094128,13.1385738073448,13.7144556987762,14.2054622458803,13.5635876336659,13.3414291810514,13.8605030746269,12.7981079690951,17.8203076842362,13.0203604435661,14.4501477569515,12.9710707127415,12.1061784055783,12.5824527092845,13.0363434163951,15.73727740285,13.2893565448877,15.5845658340046,13.505389120548,13.7727442470411,13.8567539978703,13.6778781427453,13.5154464906048,14.2410194518042
"Mevalonate",18.2276512075381,17.5870261439645,16.5216803165852,16.8844144795015,17.5735024699329,16.8801954423987,15.5034484861133,17.1656851918317,17.3639396694695,17.4864491494326,17.5620461228241,16.2594103129155,17.6851530433535,18.2391982290184,16.7138415728645,17.7619097479808,16.2419495156921,15.4845081839759,16.125496941897,16.9263672114634,17.9972774353966,15.6392070417373,18.5953168330452,14.9006841863422,17.7658094891229
